10107;30;957;2871;28710;Shipped;2;2003;Motorcycles;Land of Toys Inc.;NYC;USA;Yu Kwai;Small
10121;34;8135;27659;276590;Shipped;5;2003;Motorcycles;Reims Collectables;Reims;France;Henriot Paul;Small
10134;41;9474;388434;388434;Shipped;7;2003;Motorcycles;Lyon Souveniers;Paris;France;Da Cunha Daniel;Medium
10145;45;8326;37467;374670;Shipped;8;2003;Motorcycles;Toys4GrownUps.com;Pasadena;USA;Young Julie;Medium
10159;49;100;520527;520527;Shipped;10;2003;Motorcycles;Corporate Gift Ideas Co.;San Francisco;USA;Brown Julie;Medium
10168;36;9666;347976;347976;Shipped;10;2003;Motorcycles;Technics Stores Inc.;Burlingame;USA;Hirano Juri;Medium
10180;29;8613;249777;249777;Shipped;11;2003;Motorcycles;Daedalus Designs Imports;Lille;France;Rance Martine;Small
10188;48;100;551232;551232;Shipped;11;2003;Motorcycles;Herkku Gifts;Bergen;Norway;Oeztan Veysel;Medium
10201;22;9857;216854;216854;Shipped;12;2003;Motorcycles;Mini Wheels Co.;San Francisco;USA;Murphy Julie;Small
10211;41;100;470844;470844;Shipped;1;2004;Motorcycles;Auto Canal Petit;Paris;France;Perrier Dominique;Medium
10223;37;100;396566;396566;Shipped;2;2004;Motorcycles;Australian Collectors, Co.;Melbourne;Australia;Ferguson Peter;Medium
10237;23;100;233312;233312;Shipped;4;2004;Motorcycles;Vitachrome Inc.;NYC;USA;Frick Michael;Small
10251;28;100;318864;318864;Shipped;5;2004;Motorcycles;Tekni Collectables Inc.;Newark;USA;Brown William;Medium
10263;34;100;367676;367676;Shipped;6;2004;Motorcycles;Gift Depot Inc.;Bridgewater;USA;King Julie;Medium
10275;45;9283;417735;417735;Shipped;7;2004;Motorcycles;La Rochelle Gifts;Nantes;France;Labrune Janine;Medium
10285;36;100;409968;409968;Shipped;8;2004;Motorcycles;Marta's Replicas Co.;Cambridge;USA;Hernandez Marta;Medium
10299;23;100;259739;259739;Shipped;9;2004;Motorcycles;Toys of Finland, Co.;Helsinki;Finland;Karttunen Matti;Small
10309;41;100;439438;439438;Shipped;10;2004;Motorcycles;Baane Mini Imports;Stavern;Norway;Bergulfsen Jonas;Medium
